"GENEID","avg_effect","consistency","n_disorders"
"ENSG00000019144",0.492082063,NA,1
"ENSG00000019169",-0.276557043,0.165893412594855,2
"ENSG00000019485",0.230914676,NA,1
"ENSG00000019505",-0.0704838571428571,NA,1
"ENSG00000019549",-0.503316774,NA,1
"ENSG00000019582",0.3567417566,0.651985215865943,5
"ENSG00000019991",0.451096315,0.134656133321511,2
"ENSG00000019995",-0.32,NA,1
"ENSG00000020129",-0.139682515,0.440467399389615,2
"ENSG00000020181",0.357888431,NA,1
"ENSG00000020256",0.0252490383333333,0.191812768247667,3
"ENSG00000020426",-0.0774491446666667,NA,1
"ENSG00000020577",-0.0307725231666667,0.231038818035118,3
"ENSG00000020633",0.32991,NA,1
"ENSG00000021355",0.3336301815,0.0582941397207806,2
"ENSG00000021461",0.455653334,0.139720812511817,2
"ENSG00000021488",-0.584494404,NA,1
"ENSG00000021645",-0.2314459,0.149500899740503,2
"ENSG00000021776",-0.148823896,NA,1
"ENSG00000022267",-0.068843995,0.258809574266718,2
"ENSG00000022277",0.167606428,NA,1
"ENSG00000022355",-0.89576416,1.00498945690711,2
"ENSG00000022556",-1.211819093,NA,1
"ENSG00000022567",0.143808466,NA,1
"ENSG00000022840",-0.146134737,NA,1
"ENSG00000023041",0.143714038,NA,1
"ENSG00000023191",0.2071023905,NA,1
"ENSG00000023228",-0.000989888500000001,0.174656664008739,2
"ENSG00000023287",0.08779206,NA,1
"ENSG00000023318",-0.158606055666667,NA,1
"ENSG00000023330",0.209396817,NA,1
"ENSG00000023445",0.33569325,NA,1
"ENSG00000023516",-0.30530688,0.521410810657651,2
"ENSG00000023572",0.1910326295,0.182050183826534,2
"ENSG00000023734",0.0131262405,NA,1
"ENSG00000023892",0.18230125175,0.584757273938397,2
"ENSG00000023902",-0.3009577519,0.264933321365755,2
"ENSG00000023909",0.1202925695,0.0684191988921636,2
"ENSG00000024048",-0.12115401,NA,1
"ENSG00000024422",0.0803391735,0.682753279059042,2
"ENSG00000024862",0.269509576,NA,1
"ENSG00000025039",-0.0211509425,0.185413895027279,2
"ENSG00000025156",0.0466940115,0.0336472497973728,2
"ENSG00000025423",0.0815783446666667,0.0184538955273067,2
"ENSG00000025434",0.229664052,NA,1
"ENSG00000025770",0.257995413,NA,1
"ENSG00000025772",-0.534951194,NA,1
"ENSG00000025796",-0.0447518048333333,0.140873256322306,2
"ENSG00000025800",0.23,NA,1
"ENSG00000026025",0.51929999,NA,1
"ENSG00000026036",0.6161001,NA,1
"ENSG00000026297",0.3671972905,NA,1
"ENSG00000026508",0.932015768,0.256259468792215,3
"ENSG00000026652",0.0577716595,0.356704739949959,2
"ENSG00000026950",0.25046126,NA,1
"ENSG00000027075",-0.4124692,NA,1
"ENSG00000027697",0.0510748415,0.850048192850558,2
"ENSG00000027847",0.352,0.0169705627484771,2
"ENSG00000028137",-0.4388131,NA,1
"ENSG00000028277",0.139380276,0.358112922598595,2
"ENSG00000028310",0.109564888,NA,1
"ENSG00000028528",0.123545115,NA,1
"ENSG00000029153",0.396924877,NA,1
"ENSG00000029364",0.1084740155,0.0782774355623066,2
"ENSG00000029534",-0.2111754,NA,1
"ENSG00000029639",0.24307024,NA,1
"ENSG00000029725",-0.1802933,0.176361906458793,2
"ENSG00000029993",0.402,NA,1
"ENSG00000030110",-0.3404840505,NA,1
"ENSG00000030419",-0.146008566,0.296559359908343,3
"ENSG00000031003",0.3962975,NA,1
"ENSG00000032219",-0.139233858,NA,1
"ENSG00000032389",0.182810586,NA,1
"ENSG00000032444",0.0303397535,0.182594704131309,2
"ENSG00000033030",-0.228432195,NA,1
"ENSG00000033100",-0.2862306475,0.132609890040443,2
"ENSG00000033122",-0.150426082,NA,1
"ENSG00000033170",-0.1211028,NA,1
"ENSG00000033178",0.0043912905,NA,1
"ENSG00000033867",0.361897952,0.280158603015486,2
"ENSG00000034053",0.223463743,NA,1
"ENSG00000034152",0.113592056666667,0.51653892516232,3
"ENSG00000034510",0.2809345055,NA,1
"ENSG00000034533",0.269611392,NA,1
"ENSG00000034693",0.154165725,NA,1
"ENSG00000035115",-0.176565503,NA,1
"ENSG00000035403",0.0501937585,0.537127137803251,2
"ENSG00000035681",-0.00476182949999999,0.232790200687629,2
"ENSG00000035687",0.114926133333333,0.0965291171706725,2
"ENSG00000035862",0.188708177142857,NA,1
"ENSG00000035928",0.146488037,NA,1
"ENSG00000036530",-0.317149965,NA,1
"ENSG00000036549",0.214355296,NA,1
"ENSG00000037042",-0.146003388333333,0.028709683186182,2
"ENSG00000037241",-0.181028916,NA,1
"ENSG00000037280",-0.9031097065,NA,1
"ENSG00000037637",-0.110379863,NA,1
"ENSG00000037749",0.1577989835,0.023852729105069,2
"ENSG00000037757",0.310833307,NA,1
