"gene","degree","weighted_degree"
"ENSG00000137563",4878,7536
"ENSG00000137766",4878,7536
"ENSG00000139679",4878,7536
"ENSG00000141506",4878,7536
"ENSG00000143570",4878,7536
"ENSG00000144802",4878,7536
"ENSG00000144837",4878,7536
"ENSG00000145779",4878,7536
"ENSG00000147036",4878,7536
"ENSG00000150337",4878,7536
"ENSG00000153291",4878,7536
"ENSG00000155052",4878,7536
"ENSG00000159247",4878,7536
"ENSG00000160712",4878,7536
"ENSG00000162747",4878,7536
"ENSG00000163513",4878,7536
"ENSG00000163702",4878,7536
"ENSG00000164199",4878,7536
"ENSG00000166592",4878,7536
"ENSG00000167232",4878,7536
"ENSG00000167641",4878,7536
"ENSG00000169220",4878,7536
"ENSG00000169991",4878,7536
"ENSG00000172456",4878,7536
"ENSG00000173267",4878,7536
"ENSG00000176293",4878,7536
"ENSG00000177098",4878,7536
"ENSG00000178026",4878,7536
"ENSG00000181031",4878,7536
"ENSG00000183775",4878,7536
"ENSG00000185046",4878,7536
"ENSG00000185860",4878,7536
"ENSG00000186352",4878,7536
"ENSG00000186517",4878,7536
"ENSG00000196843",4878,7536
"ENSG00000197457",4878,7536
"ENSG00000198755",4878,7536
"ENSG00000200156",4878,7536
"ENSG00000204175",4878,7536
"ENSG00000204764",4878,7536
"ENSG00000205352",4878,7536
"ENSG00000205403",4878,7536
"ENSG00000208772",4878,7536
"ENSG00000239039",4878,7536
"ENSG00000257126",4878,7536
"ENSG00000102743",5008,7401
"ENSG00000007944",4766,7331
"ENSG00000068745",4766,7331
"ENSG00000072694",4766,7331
"ENSG00000084090",4766,7331
"ENSG00000100092",4766,7331
"ENSG00000100368",4766,7331
"ENSG00000100804",4766,7331
"ENSG00000101442",4766,7331
"ENSG00000106397",4766,7331
"ENSG00000106635",4766,7331
"ENSG00000109854",4766,7331
"ENSG00000110719",4766,7331
"ENSG00000115350",4766,7331
"ENSG00000115866",4766,7331
"ENSG00000116771",4766,7331
"ENSG00000117091",4766,7331
"ENSG00000124193",4766,7331
"ENSG00000124228",4766,7331
"ENSG00000125755",4766,7331
"ENSG00000125779",4766,7331
"ENSG00000127334",4766,7331
"ENSG00000128203",4766,7331
"ENSG00000132792",4766,7331
"ENSG00000133561",4766,7331
"ENSG00000136715",4766,7331
"ENSG00000136997",4766,7331
"ENSG00000138347",4766,7331
"ENSG00000138834",4766,7331
"ENSG00000144724",4766,7331
"ENSG00000144840",4766,7331
"ENSG00000146776",4766,7331
"ENSG00000146802",4766,7331
"ENSG00000148700",4766,7331
"ENSG00000151338",4766,7331
"ENSG00000153879",4766,7331
"ENSG00000154814",4766,7331
"ENSG00000156510",4766,7331
"ENSG00000156603",4766,7331
"ENSG00000158792",4766,7331
"ENSG00000158863",4766,7331
"ENSG00000159189",4766,7331
"ENSG00000159713",4766,7331
"ENSG00000162461",4766,7331
"ENSG00000164465",4766,7331
"ENSG00000167333",4766,7331
"ENSG00000167566",4766,7331
"ENSG00000169609",4766,7331
"ENSG00000170915",4766,7331
"ENSG00000173295",4766,7331
"ENSG00000173334",4766,7331
"ENSG00000173376",4766,7331
"ENSG00000173597",4766,7331
"ENSG00000177076",4766,7331
"ENSG00000177084",4766,7331
"ENSG00000177731",4766,7331
"ENSG00000177990",4766,7331
"ENSG00000178127",4766,7331
"ENSG00000179388",4766,7331
"ENSG00000179523",4766,7331
"ENSG00000180822",4766,7331
"ENSG00000182108",4766,7331
"ENSG00000184060",4766,7331
"ENSG00000185862",4766,7331
"ENSG00000185875",4766,7331
"ENSG00000186369",4766,7331
"ENSG00000187097",4766,7331
"ENSG00000188996",4766,7331
"ENSG00000198746",4766,7331
"ENSG00000198948",4766,7331
"ENSG00000201457",4766,7331
"ENSG00000204228",4766,7331
"ENSG00000204574",4766,7331
"ENSG00000206573",4766,7331
"ENSG00000235082",4766,7331
"ENSG00000239002",4766,7331
"ENSG00000241015",4766,7331
"ENSG00000007402",4826,6917
"ENSG00000065320",4826,6917
"ENSG00000072954",4826,6917
"ENSG00000073712",4826,6917
"ENSG00000075303",4826,6917
"ENSG00000102468",4826,6917
"ENSG00000105372",4826,6917
"ENSG00000117228",4826,6917
"ENSG00000118946",4826,6917
"ENSG00000119636",4826,6917
"ENSG00000123080",4826,6917
"ENSG00000124766",4826,6917
"ENSG00000129654",4826,6917
"ENSG00000130045",4826,6917
"ENSG00000138378",4826,6917
"ENSG00000138685",4826,6917
"ENSG00000139112",4826,6917
"ENSG00000139352",4826,6917
"ENSG00000142102",4826,6917
"ENSG00000143384",4826,6917
"ENSG00000145358",4826,6917
"ENSG00000146411",4826,6917
"ENSG00000147853",4826,6917
"ENSG00000149564",4826,6917
"ENSG00000152894",4826,6917
"ENSG00000154764",4826,6917
"ENSG00000155363",4826,6917
"ENSG00000162337",4826,6917
"ENSG00000163629",4826,6917
