"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","19/743","70/9376",0.271428571428571,3.42518746394924,5.97464334370434,1.27254348613934e-06,2.17604936129827e-05,1.46677380770798e-05,"3683/3383/595/942/3119/5551/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109",19
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","20/743","78/9376",0.256410256410256,3.23566966904787,5.81646795699309,1.79206887533169e-06,2.91851216839732e-05,1.96723350224381e-05,"5743/4792/3552/6772/7043/7097/3592/3684/2353/5970/3119/5600/3117/3127/3111/3108/3122/3115/3113/3109",20
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","18/743","66/9376",0.272727272727273,3.44157592071455,5.83937727116521,2.24235453823969e-06,3.48584205489988e-05,2.34964422906455e-05,"3566/3552/6772/7043/7097/6775/3592/5970/4094/3119/3117/3127/3111/3108/3122/3115/3113/3109",18
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","16/743","54/9376",0.296296296296296,3.73899606201087,5.92151608180727,2.48171575426036e-06,3.69020342590019e-05,2.48739473767972e-05,"942/3119/5551/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109",16
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","20/743","82/9376",0.24390243902439,3.07783212421626,5.54389789600926,4.14823276976389e-06,5.91123169691355e-05,3.98448673937848e-05,"920/972/1520/6890/3119/4261/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/6892/3106/3109",20
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","23/743","105/9376",0.219047619047619,2.76418637441518,5.33304191621769,5.77204164629903e-06,7.89615297213708e-05,5.3224299812189e-05,"7132/5743/4791/3383/29760/4792/5971/4055/3554/1647/7706/7186/10912/115650/7412/2919/6850/3576/929/5970/5336/84433/6351",23
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","50/743","333/9376",0.15015015015015,1.89476151791091,4.87721974746931,7.03839389675528e-06,9.25819504880887e-05,6.24051928497736e-05,"5291/7132/5743/5829/182/3955/595/7450/1297/896/3910/7060/3280/6772/1017/1026/3659/5605/3911/3845/1284/23493/7057/1291/1292/148327/7476/4599/3678/7098/5986/6773/5734/3913/5970/8322/1282/9636/1978/57801/5649/55534/4855/3107/3133/3134/3105/10379/3106/3690",50
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","53/743","362/9376",0.146408839779006,1.84754950439833,4.82458272306085,7.89456987058396e-06,9.87080199639504e-05,6.65344917577874e-05,"4254/5291/4804/3566/5155/3718/595/7450/2784/1297/896/3910/7060/59345/5228/7010/3164/1017/1026/5605/2791/3911/3845/5156/1284/7097/7057/2247/1291/1292/1969/4170/148327/9180/7424/8822/200186/3678/6850/2786/2668/1942/3913/5970/7423/627/1436/57121/1282/1978/5649/4914/3690",53
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","25/743","122/9376",0.204918032786885,2.58588354698497,5.17232297713622,8.08135835962167e-06,9.87080199639504e-05,6.65344917577874e-05,"5606/5291/4214/3710/5332/5599/6772/8835/113/6776/5605/25759/3845/112609/5330/148327/3486/5331/6750/6464/2353/3726/9021/5600/5336",25
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","26/743","130/9376",0.2,2.52382234185734,5.13249154979726,8.50548868553154e-06,0.000100306107946613,6.76116886436083e-05,"5291/1906/4313/4792/5332/5599/2784/59345/113/5605/2791/25759/3845/1284/1910/5330/148327/5331/7424/6464/2786/2353/5970/7423/5600/1282",26
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","36/743","214/9376",0.168224299065421,2.12284122212299,4.874490920644,1.14381182966599e-05,0.000130394548581922,8.78929090164389e-05,"920/7133/5606/5291/7132/4775/5829/3710/4792/5599/2784/59345/2185/7852/5605/7186/2791/684/3845/7097/1234/2786/6890/2353/5970/8905/340061/5600/5336/3107/3133/3134/3105/6892/3106/27350",36
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","14/743","50/9376",0.28,3.53335127860027,5.26904472725712,2.16253168143894e-05,0.000234569843296684,0.000158112636755844,"3683/3383/6347/7060/7043/7097/7057/7412/3592/3576/3040/3039/3043/5175",14
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","34/743","203/9376",0.167487684729064,2.11354580352585,4.70543287516913,2.19480555131401e-05,0.000234569843296684,0.000158112636755844,"5291/5923/5829/5155/394/10398/10627/858/5599/595/7450/1297/896/3910/7060/5228/25759/3911/2012/5156/1284/7057/1291/1292/7424/7791/6464/3678/3913/7423/1282/5649/2316/3690",34
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","22/743","109/9376",0.201834862385321,2.54697667526887,4.76569898602311,3.57782939263968e-05,0.000366045940252288,0.000246734567298403,"920/4775/3566/4792/3718/5599/6772/3554/6776/4794/2353/5970/3119/5600/3117/3127/3111/3108/3122/3115/3113/3109",22
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","28/743","157/9376",0.178343949044586,2.25054221566896,4.63559462388665,3.63905320718649e-05,0.000366045940252288,0.000246734567298403,"5606/5291/10758/4775/3710/5054/595/896/3552/1647/7043/1017/1026/6237/5605/10912/3845/3486/9261/3576/5970/5600/1978/3107/3133/3134/3105/3106",28
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","20/743","95/9376",0.210526315789474,2.65665509669193,4.7609727075433,4.2722130097763e-05,0.00041745624266957,0.000281387864403311,"3683/3383/6347/942/3552/7043/7010/7097/2919/3576/2353/3119/3117/3127/3111/3108/3122/3115/3113/3109",20
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","21/743","103/9376",0.203883495145631,2.57282860092253,4.70857025779169,4.57890865833246e-05,0.000434996322541584,0.000293210817594973,"5291/5332/3315/5869/3910/3554/7043/3911/1284/7097/5330/5331/9630/2919/3592/3576/3684/929/3913/5970/1282",21
