"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","20/877","99/9376",0.202020202020202,2.15979636732202,3.72646531596187,0.000718577216666328,0.00392899478144976,0.00224479130503573,"3075/3683/3383/718/5648/2209/2215/5724/3684/719/713/3119/3117/728/2214/3111/3122/3426/721/3113",20
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","15/877","65/9376",0.230769230769231,2.46715200421016,3.81272205372687,0.000777594101950219,0.00418419683430356,0.00239059840866901,"5291/610/8911/3780/10000/6696/5582/5295/3708/2776/5579/5293/3265/23236/8912",15
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","21/877","107/9376",0.196261682242991,2.09823207834696,3.67004249499378,0.000796825332394485,0.00422068418252704,0.00241144508487805,"816/5837/815/5836/5834/2997/51422/2645/5532/10000/6513/92579/3708/2776/90993/5563/5224/5260/23236/801/5534",21
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","23/877","122/9376",0.188524590163934,2.01551488868535,3.62662777302769,0.000825424038266052,0.00424254110442363,0.00242393281544464,"3479/5606/5291/2771/10000/113/5582/5295/3486/53358/3708/2776/90993/6464/107/5579/6774/2353/3726/5293/111/3265/23236",23
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","19/877","93/9376",0.204301075268817,2.18418116501759,3.68652317539,0.00083795064381724,0.00424254110442363,0.00242393281544464,"5291/9618/3655/595/3910/1647/10000/317/1017/1164/1284/6258/5295/5293/54205/5970/1282/1287/3908",19
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","37/877","232/9376",0.15948275862069,1.70502889946133,3.49288529092847,0.000838496324473106,0.00424254110442363,0.00242393281544464,"3683/85477/7414/5291/5063/2260/26281/5829/3655/8874/8395/730/5159/10000/7852/10298/4628/57180/9475/3679/10152/8515/5295/51571/673/7410/3678/3684/5293/3265/1129/128239/1133/81553/1902/3690/23191",37
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","31/877","184/9376",0.168478260869565,1.80119974220415,3.52570705610958,0.000861737696608529,0.00424302438291384,0.00242420893170671,"5291/816/25791/815/5063/25/8829/4776/2051/5532/90249/2771/2043/7852/6608/10298/9475/2045/2044/5295/64221/2047/84448/10501/1942/5293/3265/56963/6092/10507/5534",31
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","33/877","200/9376",0.165,1.76401368301026,3.50825337949778,0.000866300867917197,0.00424302438291384,0.00242420893170671,"7132/5063/25/27128/29108/2597/5777/3554/9181/55930/4628/57180/9475/8737/347733/4542/3606/84790/2353/54205/5970/84617/3725/3059/7100/10383/203068/837/4644/1902/7124/4671/23191",33
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","24/877","130/9376",0.184615384615385,1.97372160336813,3.59112942450551,0.000876140728035306,0.00424302438291384,0.00242420893170671,"5291/10681/2782/4842/2771/10000/113/1284/5295/53358/90993/6464/7048/107/2353/5293/5970/111/3265/2788/3725/23236/1282/1287",24
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","15/877","66/9376",0.227272727272727,2.42977091323728,3.74425229990005,0.000921106685371144,0.00439796008930729,0.00251272987558622,"3459/3595/7043/3606/6774/5970/3725/4094/3119/7100/3117/3111/3122/3113/7124",15
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","16/877","73/9376",0.219178082191781,2.34323112728636,3.70085600108097,0.000958222931560456,0.00451163296943048,0.00257767572232637,"5291/6789/3718/595/1647/10000/5582/2064/6258/5295/673/5979/5579/6774/5293/3265",16
"Organismal Systems","Nervous system","hsa04730","Long-term depression","14/877","60/9376",0.233333333333333,2.49456480425694,3.73058686073724,0.00102668333334193,0.00476774863017691,0.0027240048065597,"3479/2983/4842/2771/2891/5582/3708/2977/2776/673/5579/3265/23236/4067",14
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","26/877","149/9376",0.174496644295302,1.86554223137144,3.4209967130288,0.0012994014409603,0.00595266335791272,0.00340099381417774,"5291/27128/160851/5294/8395/5159/10000/113/1607/10161/23533/5295/53358/8525/8526/3815/9162/6464/107/6850/10555/5293/111/3265/23236/1902",26
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","25/877","142/9376",0.176056338028169,1.88221690462042,3.40271936446347,0.0014024957091797,0.00633928060549224,0.00362188365598687,"4257/5291/1535/2817/7132/3383/3162/25828/858/3554/9181/10000/1843/7295/5295/5563/2353/5293/5970/3725/1003/801/7124/3690/5175",25
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","34/877","214/9376",0.158878504672897,1.69856882532849,3.32064511415407,0.00143091487044497,0.00635458275147538,0.00363062638183968,"5606/5291/7132/10681/23291/5063/2782/5829/4776/25939/1174/5532/2771/10000/7852/5582/10298/8737/5295/3708/2776/1234/5579/567/2353/5293/54205/5970/3265/2788/3725/801/5534/7124",34
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","14/877","62/9376",0.225806451612903,2.41409497186155,3.58845765892262,0.00144337130343246,0.00635458275147538,0.00363062638183968,"3479/5291/51422/10000/113/5295/5563/107/5293/3310/111/3265/3304/3303",14
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","28/877","166/9376",0.168674698795181,1.80329985849899,3.35431187464001,0.00147527978674027,0.00641179291929427,0.00366331283077207,"2983/490/4776/5294/5532/2771/10000/113/7408/9475/23533/150/3708/291/2977/2776/3778/491/90993/107/111/488/23236/6546/152/5138/801/5534",28
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","20/877","105/9376",0.19047619047619,2.03637943204648,3.43045450987106,0.00154469531018526,0.00662850266016207,0.00378712774249284,"5291/602/4791/1540/4776/29108/5532/10000/1959/5295/3708/9261/6850/5293/5970/3265/3725/801/5534/7124",20
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","16/877","77/9376",0.207792207792208,2.2215048349598,3.45719558194477,0.00174321199578315,0.0073868608321311,0.00422040798979079,"5291/25/595/1647/10000/7043/5295/53358/673/861/6464/7048/5293/5970/3265/1488",16
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","12/877","50/9376",0.24,2.56583808437856,3.56603555239074,0.00178202473073867,0.00745810350272108,0.00426111176680851,"3683/3383/975/3820/7043/3606/3040/1378/3039/7124/3043/5175",12
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","19/877","99/9376",0.191919191919192,2.05180654895592,3.37949034349537,0.00182796671885864,0.00755708192308634,0.00431766208305507,"7454/5291/160851/8395/5159/60482/10000/5582/1607/5295/8525/8526/9162/5579/2353/5293/3265/3725/6583",19
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","17/877","86/9376",0.197674418604651,2.11333563151335,3.33172384804115,0.0022431660889735,0.00905277743050019,0.00517221253597899,"5291/816/815/5063/25/10000/5582/10298/2064/5295/53358/673/6464/5579/5293/3265/3725",17
