DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL,-LOGPVAL,,
AD,Wingo,2015,PBMC,ENSG00001697309,0.2332669200,0.0102350000,1.9899121530,,
AD,Wingo,2015,PBMC,ENSG00002384181,0.2112688000,0.0102620000,1.9887679897,,
AD,Wingo,2015,PBMC,ENSG00001725612,0.1186992500,0.0103910000,1.9833426552,,
AD,Wingo,2015,PBMC,ENSG00002309156,-0.1757820000,0.0104010000,1.9829249036,,
AD,Wingo,2015,PBMC,ENSG00001676986,0.1260845900,0.0105010000,1.9787693415,,
AD,Wingo,2015,PBMC,ENSG00000171446,-0.1316673000,0.0105350000,1.9773654601,,
AD,Wingo,2015,PBMC,ENSG00001769705,0.1777048900,0.0105760000,1.9756785579,,
AD,Wingo,2015,PBMC,ENSG00001802761,0.1127142900,0.0106110000,1.9742436855,,
AD,Wingo,2015,PBMC,ENSG00001810214,-0.1181128000,0.0106530000,1.9725280730,,
AD,Wingo,2015,PBMC,ENSG00001677085,0.1017086500,0.0106710000,1.9717948801,,
AD,Wingo,2015,PBMC,ENSG00000168404,0.1994736800,0.0107430000,1.9688744243,,
AD,Wingo,2015,PBMC,ENSG00002402930,0.1277443600,0.0107600000,1.9681877287,,
AD,Wingo,2015,PBMC,ENSG00000179862,-0.2090884000,0.0110950000,1.9548726934,,
AD,Wingo,2015,PBMC,ENSG00001773616,0.1023533800,0.0111800000,1.9515581964,,
AD,Wingo,2015,PBMC,ENSG00000168785,-0.2898703000,0.0111860000,1.9513251850,,
AD,Wingo,2015,PBMC,ENSG00001659029,-0.2759004000,0.0112120000,1.9503169109,,
AD,Wingo,2015,PBMC,ENSG00001772132,-0.1011504000,0.0112900000,1.9473060581,,
AD,Wingo,2015,PBMC,ENSG00001789005,-0.1955752000,0.0113660000,1.9443923483,,
AD,Wingo,2015,PBMC,ENSG00001673757,0.1828815800,0.0113980000,1.9431713474,,
AD,Wingo,2015,PBMC,ENSG00001799030,0.2244624100,0.0114870000,1.9397933789,,
AD,Wingo,2015,PBMC,ENSG00001773849,-0.2671579000,0.0114980000,1.9393776957,,
AD,Wingo,2015,PBMC,ENSG00000232415,0.1268684200,0.0115460000,1.9375684468,,
AD,Wingo,2015,PBMC,ENSG00002090059,-0.1965902000,0.0115460000,1.9375684468,,
AD,Wingo,2015,PBMC,ENSG00001784207,-0.3560545000,0.0115980000,1.9356168956,,
AD,Wingo,2015,PBMC,ENSG00001800414,-0.1028327000,0.0116950000,1.9319997739,,
AD,Wingo,2015,PBMC,ENSG00001702265,-0.1187500000,0.0117040000,1.9316656869,,
AD,Wingo,2015,PBMC,ENSG00001766832,-0.1182594000,0.0117080000,1.9315172862,,
AD,Wingo,2015,PBMC,ENSG00000172818,0.1582913500,0.0119270000,1.9234687807,,
AD,Wingo,2015,PBMC,ENSG00000204860,-0.3043534000,0.0120680000,1.9183646985,,
AD,Wingo,2015,PBMC,ENSG00001748476,0.1217255600,0.0121370000,1.9158886481,,
AD,Wingo,2015,PBMC,ENSG00001810577,0.1748383500,0.0121410000,1.9157455409,,
AD,Wingo,2015,PBMC,ENSG00001651496,0.3040601500,0.0121510000,1.9153879791,,
AD,Wingo,2015,PBMC,ENSG00002164242,-0.1818083000,0.0121570000,1.9151735833,,
AD,Wingo,2015,PBMC,ENSG00002284998,0.1187688000,0.0123590000,1.9080166678,,
AD,Wingo,2015,PBMC,ENSG00000175773,0.1445131600,0.0123700000,1.9076303004,,
AD,Wingo,2015,PBMC,ENSG00000236268,0.1383759400,0.0124670000,1.9042380405,,
AD,Wingo,2015,PBMC,ENSG00001798804,0.1451654100,0.0125230000,1.9022916194,,
AD,Wingo,2015,PBMC,ENSG00001797384,-0.1458966000,0.0126700000,1.8972233851,,
AD,Wingo,2015,PBMC,ENSG00000174989,0.1495864700,0.0126990000,1.8962304768,,
AD,Wingo,2015,PBMC,ENSG00001811592,-0.1298590000,0.0127120000,1.8957861158,,
AD,Wingo,2015,PBMC,ENSG00001714809,-0.2622575000,0.0127880000,1.8931973724,,
AD,Wingo,2015,PBMC,ENSG00001754220,-0.1176541000,0.0128360000,1.8915702916,,
AD,Wingo,2015,PBMC,ENSG00001756873,-0.1660320000,0.0128470000,1.8911982759,,
AD,Wingo,2015,PBMC,ENSG00001747775,0.1263251900,0.0129260000,1.8885358484,,
AD,Wingo,2015,PBMC,ENSG00001675756,0.2092105300,0.0129580000,1.8874620244,,
AD,Wingo,2015,PBMC,ENSG00002396813,-0.1621823000,0.0129690000,1.8870935097,,
AD,Wingo,2015,PBMC,ENSG00000177511,-0.1219192000,0.0130270000,1.8851555869,,
AD,Wingo,2015,PBMC,ENSG00001670821,-0.4198177000,0.0131040000,1.8825961156,,
AD,Wingo,2015,PBMC,ENSG00001667068,0.1011691700,0.0132390000,1.8781448178,,
AD,Wingo,2015,PBMC,ENSG00001756131,-0.1246899000,0.0134800000,1.8703101078,,
AD,Wingo,2015,PBMC,ENSG00002048636,0.1105169200,0.0135020000,1.8696018963,,
